01B0AC  BINPAT
01B0D6  PATTERN
01B0E7  QUAD
01B0F8  <ANIMATION
01B116  ANIMATION>
01B134  AT!
01B145  NC=
01B154  SC=
01B161  UB@
01B1C3  SPMARK
01B1D1  ETYPE
01B1DE  ESIZE
01B1EB  IDX
01B1F6  CNT
01B201  TTYPE
01B21C  <TBL
01B24C  <ANIM-TBL
01B266  <ANIM-MAG-TBL
01B284  <ROT-TBL
01B29D  <ROT-ANIM-TBL
01B2BB  <PER-TBL
01B2D4  <PER-ANIM-TBL
01B2F2  <PER-ROT-TBL
01B30F  <PER-ROT-ANIM-TBL
01B331  TBL>
01E76F  c
01E78B  FS.PAT
02640D  XC.PATTERNS
02641D  PAT-LOAD
02642A  BLANK
02643E  ANIM-VERBS
02644D  KAMI-P
026464  CODE-LOAD
026472  MEMV
02647B  SMINE-P
026487  INDEX
026491  DCOP
02649A  PLY-P
0264A4  PLUP
0264AD  BANG
0264B6  CLONE-P
0264C2  GORF-P
0264CD  LAZON-P
0264D9  SHLD-P
0264E4  MITE-P
0264EF  TRION-P
0264FB  DEB-P
026505  HK-P
02650E  GB-P
026517  GRD-P
026521  NULPAT
02652C  ANIM-MAP
026539  INSTRUCTIONS
02654A  INIT-AT
02B02C  XC.VIDEO
02EEAE  p*@
03ED47  =?
040D44  !=
040D4B  W2M
040DC1  WX
040E1B  Y=
